id,input,output,note,label
1383,What would the command be to disrupt a bare metal node using IPMI?,krknctl run node-scenarios-bm,,node-scenarios-bm
1384,Execute a service outage in namespace kube-system for 300 seconds,krknctl run application-outages --namespace kube-system --pod-selector '{app: controller}' --chaos-duration 300,,application-outages
1385,Execute container failure with recovery time of 10 minutes,krknctl run container-scenarios --expected-recovery-time 600,,container-scenarios
1386,Run ingress only with bandwidth limit and enable telemetry with events backup,krknctl run network-chaos --traffic-type ingress --duration 90 --network-params '{bandwidth: 20mbit}' --telemetry-enabled True --telemetry-events-backup True --telemetry-run-tag ingress-bandwidth,,network-chaos
1387,Run memory hog on worker nodes with monitoring and alerting enabled for 120 seconds,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 90% --node-selector node-role.kubernetes.io/worker= --capture-metrics True --enable-alerts True,,node-memory-hog
1388,execute pod traffic block scenario for 5 minutes,krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector component=worker --traffic-type '[ingress]' --test-duration 300,Replace <TARGET_NAMESPACE> with the actual namespace name,pod-network-chaos
1389,We're preparing a resilience test using VMI deletion in namespace infra.,krknctl run kubevirt-outage --namespace infra --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
1390,Run node scenarios on bare metal cluster with ES data collection,krknctl run node-scenarios-bm --enable-es True --es-server https://es.example.com --es-port 9200 --es-username elastic --es-password secret --es-metrics-index krkn-metrics --es-alerts-index krkn-alerts --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the actual path to your scenario file,node-scenarios-bm
1391,Execute network chaos on pods labeled app=api in namespace test with ES data output,krknctl run pod-network-chaos --namespace test --label-selector app=api --traffic-type '[egress]' --test-duration 60 --enable-es True --es-server http://es.internal.com --es-port 9200 --es-password secret --es-metrics-index api-chaos-metrics,,pod-network-chaos
1392,I'm looking for the command that blocks ingress traffic on worker nodes,krknctl run network-chaos --traffic-type ingress --label-selector node-role.kubernetes.io/worker,,network-chaos
1393,Execute time drift on node with name node-1 and telemetry enabled with backup threads,krknctl run time-scenarios --object-names node-1 --object-type node --telemetry-enabled True --telemetry-backup-threads 3 --telemetry-group node-time-skew --telemetry-api-url https://telemetry.example.com,,time-scenarios
1394,Execute a PVC disk fill scenario targeting the storage namespace,krknctl run pvc-scenario --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,pvc-scenarios
1395,"Create a multi-target traffic block in app-ns for 20 minutes, enable telemetry and alerting","krknctl run application-outages --namespace app-ns --pod-selector '{app: service}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 1200 --telemetry-enabled True --enable-alerts True",,application-outages
1396,What command should I use to simulate VMI deletion in namespace test?,krknctl run kubevirt-outage --namespace test --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
1397,Execute container kill in any namespace,krknctl run container-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,container-scenarios
1398,Run a high CPU scenario for 15 minutes on nodes with role=worker using 2 cores and set health check to exit if it fails,krknctl run node-cpu-hog --chaos-duration 900 --cores 2 --node-selector node-role.kubernetes.io/worker= --health-check-url http://status.example.com/health --health-check-exit on-failure,,node-cpu-hog
1399,Run node network filter for 5 minutes with ingress and egress blocked on port 443,krknctl run node-network-filter --ingress True --egress True --ports 443 --chaos-duration 300,,node-network-filter
1400,Create a network chaos experiment with latency and packet loss targeting the dev namespace,"krknctl run network-chaos --traffic-type ingress --duration 300 --label-selector node-role.kubernetes.io/master --network-params '{latency: 20ms, loss: 0.02}'",,network-chaos
1401,Generate virtual memory pressure and store results in ES,krknctl run node-memory-hog --chaos-duration 20 --memory-consumption 512m --enable-es True --es-server http://localhost --es-port 9200 --es-password pass --es-metrics-index metrics --es-alerts-index alerts,,node-memory-hog
1402,Run service hijacking with health check and verify SSL certificate,krknctl run service-hijacking --health-check-url https://internal.example.com/monitor --health-check-verify True --health-check-interval 50,,service-hijacking
1403,need zone disruption in us-west-2,krknctl run zone-outages --zone us-west-2,,zone-outages
1404,Block ingress and egress traffic to pods labeled app=web with full observability,krknctl run application-outages --namespace app-ns --pod-selector '{app: web}' --chaos-duration 1200 --capture-metrics True --enable-alerts True --prometheus-url http://prometheus:9090,,application-outages
1405,Introduce time drift on pods in the default namespace and set a custom health check URL,krknctl run time-scenarios --namespace default --health-check-url http://default.check.example.com --health-check-interval 60,,time-scenarios
1406,"Run an app outage in test namespace for 15 minutes, block ingress traffic with Cerberus and health checks",krknctl run application-outages --namespace test --pod-selector '{app: service}' --block-traffic-type '[Ingress]' --chaos-duration 900 --cerberus-enabled True --health-check-interval 30,,application-outages
1407,what's the syntax for syn flood with health checks and exit on failure,krknctl run syn-flood --target-port 443 --health-check-url http://api.cluster/health --health-check-exit True --health-check-interval 30,,syn-flood
1408,Run VMI deletion for 90 seconds in namespace production,krknctl run kubevirt-outage --namespace production --vm-name <PLACEHOLDER_VM_NAME> --timeout 90,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1409,Execute node crash scenario for 5 minutes,krknctl run node-scenarios --action node_crash_scenario --duration 300,,node-scenarios
1410,Run time drift scenario on labeled pods and push to custom ES instance,krknctl run time-scenarios --label-selector app=nginx --action skew_date --enable-es True --es-server https://custom-es.com --es-port 9200 --es-username user --es-password pass --es-metrics-index nginx-metrics --es-alerts-index nginx-alerts,,time-scenarios
1411,Block port 8080 on node eth1 interface,krknctl run node-network-filter --node-name <PLACEHOLDER_NODE_NAME> --ingress True --egress False --interfaces eth1 --ports 8080 --chaos-duration 20,Replace <PLACEHOLDER_NODE_NAME> with the actual node name.,node-network-filter
1412,Block incoming and outgoing traffic on nodes with node-role=worker,"krknctl run node-network-filter --node-selector node-role=worker --ingress True --egress True --ports 2379,2380",,node-network-filter
1413,Run the CPU hog scenario 3 times with 10 minutes wait between runs in the staging namespace,krknctl run node-cpu-hog --chaos-duration 60 --cpu-percentage 50 --namespace staging --iterations 3 --wait-duration 600,,node-cpu-hog
1414,How do I filter outgoing traffic for pods with label app=frontend?,"krknctl run pod-network-filter --ingress False --egress True --ports 8081,9090 --pod-selector app=frontend --namespace staging",,pod-network-filter
1415,Block traffic to app=web in namespace kube-system for 10 minutes and store ES logs,krknctl run application-outages --namespace kube-system --pod-selector '{app: web}' --chaos-duration 600 --enable-es True --es-server http://elastic.internal:9200 --es-port 9200 --es-username admin --es-password secret --es-metrics-index kube-system-metrics --es-alerts-index kube-system-alerts,,application-outages
1416,Run container disruption for pods with app=web in namespace production,krknctl run container-scenarios --namespace production --label-selector app=web,,container-scenarios
1417,Execute a disruptive node test on bare metal nodes for our upcoming security review.,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE_PATH>,Replace <PLACEHOLDER_SCENARIO_FILE_PATH> with the actual path to the base64-encoded scenario file.,node-scenarios-bm
1418,Run a VM failure for 10 minutes in namespace infra,krknctl run kubevirt-outage --namespace infra --vm-name <PLACEHOLDER_VM_NAME> --timeout 600,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1419,Can you provide the CLI command for a VM outage in namespace production?,krknctl run kubevirt-outage --namespace production --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
1420,do pod crash for namespace kube-system,krknctl run pod-scenarios --namespace kube-system --pod-label app=crash,,pod-scenarios
1421,How do I introduce bandwidth restriction on egress traffic?,krknctl run network-chaos --traffic-type egress --egress '{bandwidth: 10mbit}',,network-chaos
1422,run VMI deletion in namespace dev with timeout 60,krknctl run kubevirt-outage --namespace dev --vm-name <PLACEHOLDER_VM_NAME> --timeout 60,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1423,What command do I use to kill container in namespace dev,krknctl run container-scenarios --namespace dev --action 1,,container-scenarios
1424,Execute cluster down for 20 seconds,krknctl run power-outages --shutdown-duration 20,,power-outages
1425,Simulate power loss for 300 seconds and collect telemetry in Elasticsearch,krknctl run power-outages --shutdown-duration 300 --cloud-type ibmcloud --enable-es True --es-server http://localhost --es-port 9200 --es-username user --es-password pass --es-telemetry-index telemetry,,power-outages
1426,Launch the service disruption scenario for namespace test with 50% delete count,krknctl run service-disruption-scenarios --namespace test --delete-count 50,,service-disruption-scenarios
1427,Set up service hijacking with iterations and daemon mode,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH> --iterations 3 --daemon-mode True,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
